,type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
0,Movie,The Grand Seduction,Don McKellar,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",2021-03-30,2014,113 min,"Comedy, Drama",2
1,Movie,Take Care Good Night,Girish Joshi,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",2021-03-30,2018,110 min,"Drama, International",2
2,Movie,Secrets of Deception,Josh Webber,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",2021-03-30,2017,74 min,"Action, Drama, Suspense",3
3,Movie,Pink: Staying True,Sonia Anderson,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",2021-03-30,2014,69 min,Documentary,1
4,Movie,Monster Maker,Giles Foster,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",2021-03-30,1989,45 min,"Drama, Fantasy",2
5,Movie,Living With Dinosaurs,Paul Weiland,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",2021-03-30,1989,52 min,"Fantasy, Kids",2
6,Movie,Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",2021-03-30,2017,98 min,"Documentary, Special Interest",2
7,Movie,Grease Live!,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",2021-03-30,2016,131 min,Comedy,1
8,Movie,Global Meltdown,Daniel Gilboy,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",2021-03-30,2017,87 min,"Action, Science Fiction, Suspense",3
9,Movie,David's Mother,Robert Allan Ackerman,"Kirstie Alley, Sam Waterston, Stockard Channing",2021-04-01,1994,92 min,Drama,1
10,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",2021-04-04,2016,88 min,"Adventure, Kids",2
11,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",2021-04-10,2014,93 min,Comedy,1
12,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",2021-04-17,2018,94 min,"Horror, Suspense",2
13,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",2021-04-24,2020,46 min,"Documentary, Sports",2
14,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",2021-05-02,2018,74 min,Documentary,1
15,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",2021-06-03,2019,96 min,"Comedy, Drama",2
16,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",,2016,87 min,"Horror, Science Fiction",2
17,TV Show,Zoo Babies,,Narrator - Gillian Barlett,,2008,1 Season,"Kids, Special Interest",2
18,TV Show,Zoë Coombs Marr: Bossy Bottom,,Zoë Coombs Marr,,2020,1 Season,"Comedy, Talk Show and Variety",2
19,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",,2018,104 min,Science Fiction,1
20,TV Show,Zoboomafoo,,,,2001,1 Season,Kids,1
21,TV Show,Zo Zo Zombie: Mini-Series,,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",,2020,1 Season,"Action, Anime, Comedy",3
22,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",,1941,62 min,"Arts, Entertainment, and Culture, Comedy, Drama",5
23,TV Show,ZeroZeroZero,,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",,2020,1 Season,TV Shows,1
24,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",,1991,94 min,Drama,1
25,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,,,2005,50 min,Documentary,1
26,TV Show,Zahara: The Return,,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",,2020,1 Season,TV Shows,1
27,TV Show,Z: The Beginning of Everything,,"Christina Ricci  , David Hoflin",,2017,1 Season,"Comedy, Drama",2
