Cast,Genre(s)
Chris Diamantopoulos,"['Anthology', 'Animation', 'Family', 'Parody', 'Action-Adventure']"
 Tony Anselmo,"['Comedy', 'Anthology', 'Animation', 'Family', 'Kids', 'Parody', 'Action-Adventure']"
 Tress MacNeille,"['Comedy', 'Sports', 'Fantasy', 'Anthology', 'Animation', 'Family', 'Kids', 'Parody', 'Action-Adventure']"
 Bill Farmer,"['Comedy', 'Sports', 'Fantasy', 'Anthology', 'Animation', 'Family', 'Kids', 'Parody', 'Action-Adventure', 'Buddy']"
 Russi Taylor,"['Comedy', 'Sports', 'Fantasy', 'Anthology', 'Animation', 'Family', 'Kids', 'Parody', 'Action-Adventure', 'Buddy']"
 Corey Burton,"['Comedy', 'Fantasy', 'Series', 'Animation', 'Family', 'Science Fiction', 'Kids', 'Action-Adventure', 'Buddy']"
Jim Varney,"['Comedy', 'Animation', 'Action-Adventure', 'Buddy']"
 Noelle Parker,['Comedy']
 Douglas Seale,['Comedy']
Raymond Albert Romano,"['Comedy', 'Animation', 'Family']"
 John Leguizamo,"['Comedy', 'Animation', 'Action-Adventure', 'Family']"
 Denis Leary,"['Comedy', 'Animals & Nature', 'Animation', 'Family', 'Action-Adventure']"
 Queen Latifah,"['Comedy', 'Fantasy', 'Animation', 'Concert Film', 'Family']"
Darren Criss,"['Comedy', 'Musical', 'Family']"
 Adam Lambert,['Musical']
 Derek Hough,['Musical']
 Alexander Jean,['Musical']
 Fall Out Boy,['Musical']
 Jimmie Allen,['Musical']
John Lennon,"['Docuseries', 'Historical', 'Music']"
 Paul McCartney,"['Docuseries', 'Historical', 'Music']"
 George Harrison,"['Docuseries', 'Historical', 'Music']"
 Ringo Starr,"['Docuseries', 'Historical', 'Music']"
Jacques Yves Cousteau,"['Biographical', 'Documentary']"
 Vincent Cassel,"['Biographical', 'Documentary']"
Jeremy Renner,"['Fantasy', 'Superhero', 'Action-Adventure', 'Science Fiction']"
 Hailee Steinfeld,"['Superhero', 'Action-Adventure']"
 Vera Farmiga,"['Superhero', 'Action-Adventure']"
 Fra Fee,"['Superhero', 'Action-Adventure']"
 Tony Dalton,"['Superhero', 'Action-Adventure']"
 Zahn McClarnon,"['Superhero', 'Action-Adventure']"
Gary Muehlberger,"['Docuseries', 'Reality', 'Survival']"
 Mary Miller,"['Docuseries', 'Reality', 'Survival']"
 Curly Leach,"['Docuseries', 'Reality', 'Survival']"
