type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,Ricky Velez: Here's Everything,,,2021-10-24,2021,,"Comedy, Stand Up",2
Movie,Silent Night,,,2021-10-23,2020,94 min,"Crime, Drama, Thriller",3
Movie,The Marksman,,,2021-10-23,2021,108 min,"Action, Thriller",2
Movie,Gaia,,,2021-10-22,2021,97 min,Horror,1
Movie,Settlers,,,2021-10-22,2021,104 min,"Science Fiction, Thriller",2
TV Show,The Halloween Candy Magic Pet,,,2021-10-22,2021,1 Season,"Family, Kids",2
Movie,The Evil Next Door,,,2021-10-21,2020,88 min,"Horror, Thriller",2
TV Show,The Next Thing You Eat,,,2021-10-21,2021,1 Season,"Cooking & Food, Documentaries, Lifestyle & Culture",3
TV Show,Queens,,,2021-10-20,2021,1 Season,"Drama, Music",2
TV Show,The Bachelorette,,,2021-10-20,2003,3 Seasons,"Reality, Romance",2
TV Show,The Real Queens of Hip-Hop: The Women Who Changed the Game,,,2021-10-19,2021,1 Season,"Music, News",2
Movie,Dream Horse,,,2021-10-18,2020,113 min,"Comedy, Drama",2
Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,2021-10-18,2021,,News,1
TV Show,Wakefield,,,2021-10-18,2021,1 Season,"Drama, Mystery",2
TV Show,Home Sweet Home,,,2021-10-16,2021,1 Season,Reality,1
Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,2021-10-16,2011,,Sports,1
TV Show,Showtime Championship Boxing: Wilder vs. Molina,,,2021-10-16,2015,1 Season,Sports,1
TV Show,America's Book of Secrets,,,2021-10-15,2012,1 Season,"Documentaries, History",2
TV Show,Beyond Oak Island,,,2021-10-15,2020,1 Season,"History, Reality",2
TV Show,Beyond Scared Straight,,,2021-10-15,2011,6 Seasons,"Documentaries, Reality, Teen",3
Movie,Cheer Camp Killer,,,2021-10-15,2020,87 min,Thriller,1
TV Show,Hoarders,,,2021-10-15,2009,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",3
TV Show,Little Women: Atlanta,,,2021-10-15,2016,2 Seasons,"Black Stories, Reality",2
TV Show,Marrying Millions,,,2021-10-15,2019,2 Seasons,"Documentaries, Reality, Romance",3
TV Show,Nightwatch,,,2021-10-15,2015,4 Seasons,"Documentaries, Drama, Mystery",3
TV Show,Seven Year Switch,,,2021-10-15,2017,1 Season,Reality,1
