Cast,Genre(s)
Brendan Gleeson,"['Comedy', 'Drama', 'Fantasy', 'Action']"
 Taylor Kitsch,"['Comedy', 'Drama']"
 Gordon Pinsent,"['Comedy', 'Horror', 'Drama']"
Mahesh Manjrekar,"['Comedy', 'Drama', 'Suspense', 'Action', 'International']"
 Abhay Mahajan,"['Drama', 'International']"
 Sachin Khedekar,"['Romance', 'Drama', 'Suspense', 'Action', 'International']"
Tom Sizemore,"['Science Fiction', 'Adventure', 'Drama', 'Suspense', 'Action']"
 Lorenzo Lamas,"['Faith and Spirituality', 'Kids', 'Western', 'Drama', 'Suspense', 'Action']"
 Robert LaSardo,"['Comedy', 'Drama', 'Suspense', 'Horror', 'Action']"
 Richard Jones,"['Suspense', 'Action', 'Drama']"
 Yancey Arias,"['Suspense', 'Horror', 'Action', 'Drama']"
 Noel Gugliemi,"['Comedy', 'Kids', 'Drama', 'Suspense', 'Action']"
Interviews with: Pink,['Documentary']
 Adele,"['Documentary', 'Drama']"
 Beyoncé,['Documentary']
 Britney Spears,['Documentary']
 Christina Aguilera,"['Comedy', 'Arthouse', 'Arts', 'Talk Show and Variety', 'Entertainment', 'Science Fiction', 'Documentary', 'and Culture']"
 more!,['Documentary']
Harry Dean Stanton,"['Drama', 'Fantasy']"
 Kieran O'Brien,"['Drama', 'Fantasy']"
 George Costigan,"['Drama', 'Fantasy', 'Suspense']"
 Amanda Dickinson,"['Drama', 'Fantasy']"
 Alison Steadman,"['Drama', 'Fantasy']"
 Grant Bardsley,"['Drama', 'Fantasy']"
 Bill Moody,"['Drama', 'Fantasy']"
 Matthew Scurfield,"['Drama', 'Fantasy']"
Gregory Chisholm,"['Fantasy', 'Kids']"
 Juliet Stevenson,"['Action', 'Kids', 'Romance', 'Drama', 'Fantasy']"
 Brian Henson,"['Science Fiction', 'Fantasy', 'Drama', 'Kids']"
 Michael Maloney,"['Comedy', 'Science Fiction', 'Kids', 'Romance', 'Drama', 'Fantasy']"
Alice Cooper,"['Special Interest', 'Comedy', 'Music Videos and Concerts', 'Documentary']"
 Liberty DeVitto,"['Special Interest', 'Documentary']"
 Ray Parker Jr.,"['Special Interest', 'Documentary']"
 David Foster,"['Special Interest', 'Documentary']"
 Jason Hook,"['Special Interest', 'Horror', 'Documentary', 'Suspense']"
 Steve Vai,"['Special Interest', 'Documentary']"
 Phil X,"['Special Interest', 'Documentary']"
 Rudy Sarzo,"['Special Interest', 'Documentary']"
 Jay Graydon,"['Special Interest', 'Documentary']"
 Rob Zombie,"['Special Interest', 'Documentary']"
 Kenny Aronoff,"['Special Interest', 'Documentary']"
 Steve Lukather,"['Special Interest', 'Documentary']"
 Justin Derrico,"['Special Interest', 'Documentary']"
 Eva Gardner,"['Special Interest', 'Documentary']"
 John 5,"['Special Interest', 'Documentary']"
 Eric Singer,"['Special Interest', 'Documentary']"
