Directors,Count
Don McKellar,1
Sonia Anderson,2
Giles Foster,1
Paul Weiland,1
Fran Strine,1
 Alex Rudzinski,1
Daniel Gilboy,1
Robert Allan Ackerman,1
Liz Tuccillo,1
Dominique Rocher,1
Jep Barcelona,1
Becca Gleason,1
William Nigh,11
Sam Pillsbury,1
Dr. Rudolf Lammers,1
Ida Lupino,4
Daisy Aitkens,1
Mark Knight,113
R. John Hugh,1
Mahi V Raghav,3
Allan Moyle,1
Boaz Davidson,2
Tim Gray,10
Baeble Music,14
Cannis Holder,61
Robert Ginty,1
John Elbert Ferrer,1
Jenny Bowen,1
Alfred Santell,2
Mack V. Wright,1
Carroll Ballard,1
Frederic Compain,1
Jonathan Chase Cook,1
Alan Scales,2
Frank Hall Green,1
Glenn Gordon Caron,1
Andrew V. McLaglen,6
Eugene Jarecki,1
Kreeti Gogia,2
Caryl Ebenezer,1
 J. Mervyn Williams,1
Ian Lilley,1
Bernard Carr,2
Karen Shakhnazarov,3
Aaron J. Christopher,1
Leonide Moguy,1
David Bolt,1
William Hoareau,9
Amma Asante,1
William K. Howard,1
Rocío de Prat Gay,1
Jamall Rashaud McMillan,1
Harold Trompetero,3
Albert Herman,3
Jerry Reed,1
Howard Bretherton,4
Robert Hill,2
Kôji Masunari,1
Caroline Laskow,1
 Ian Rosenberg,1
Saleel Kulkarni,1
John McKay,3
Lynne Ramsay,2
Melvin Van Peebles,1
Moonbug Entertainment,37
María Ripoll,1
Siddharth Anand,5
Tony Machi,1
Anna Mastro,1
Charles Lamont,3
Joseph Kane,13
Tom Wright,1
Corey Horton,1
Charles Garrad,1
Jacob Rosenberg,1
Ben Cookson,1
Jason Wise,1
Minoru Yamada,1
Bill Norton,2
Graeme Campbell,3
Eric D. Howell,1
BabyFirst,2
Siva,1
Lamont Johnson,1
Aashiq Abu,1
Dustin Lance Black,1
Jack Fisk,1
Srijit Mukherjee,1
Daniel Roussel,1
Saurabh Varma,1
KS Ravindra(Bobby),1
Vivek Elangovan,1
Pete Mortimer,1
 Nick Rosen,1
Marta Cunningham,1
Mark Allen Michaels,1
Pavel Navageethan,1
Mohana Krishna Indraganti,6
Josiah Burdick,1
Josh Perrault,2
Elliot Nugent,1
Tony Succar,1
Amin Bakhshian,1
 Kyla Simone Bruce,1
William C. Thomas,1
Stacey Lee,1
Doug Dearth,1
Kevin Tostado,1
Frank McDonald,9
Justin Malone,1
Joseph C. Hanwright,1
Dick Maas,1
Ernie Reyes Jr.,1
Abhishek Pathak,1
Bill Cote,1
Jim Nichols,1
Terje Toftenes,1
James Fox,2
David Cherniack,1
Malcolm St. Clair,2
Keva Rosenfeld,1
Dante J. Pugliese,1
AUSTIN NWAOLIE,1
Janaya N Black,1
Bill Bixby,2
 Charles Braverman,1
 Jackie Cooper,1
Laugh Factory,1
Angus Benfield,1
Adán Medrano,1
Herbert Ross,2
Jim Gardner,2
Ben Stiller,1
Sanket Prakash Pavse,1
Dan Curtis,2
Greg Kwedar,1
Gabriel Silverman,1
Antonio Negret,1
Karzan Kader,1
Jeremy Teicher,1
 Alexi Pappas,1
Craig Ross Jr.,2
Rehmat Rayatt,1
 Leva Kwestany,1
Carlos Sánchez,1
Geordie Day,1
Vikram Sirikonda,1
Bert I. Gordon,2
LeAnn Erickson,1
Edward Sloman,1
Tone Bell,1
Stuart Beattie,1
Jo Kastner,1
Roberto Ángel Salcedo,1
Manu Boyer,1
Ra Chezhiyan,1
Alfred Hitchcock,2
Jonathan Miller,1
Tim Bell,1
Fro Rojas,1
Adam Dufour,1
 Jacob Dufour,1
Sam Newfield,8
Ali Abbas Zafar,4
Aubrey Scotto,2
Albert Pyun,2
Kevin Tenney,1
Jean-Pierre Krief,1
J.S. Cardone,2
Richard Rush,1
Vijay Krishna Acharya,3
Rajesh Mohanan Nair,1
Charles Walters,1
Robert Florey,1
Gordon Parks Jr.,2
Kyle Clark,1
Steve Asquith,1
David Stoten,4
Lance Mungia,1
Susanna Bier,1
Erle C. Kenton,1
Ralph Ziman,1
Aidan Belizaire,2
Ted Tetzlaff,1
Alexandre Moors,1
Russell Holt,1
Neko Sparks,1
Angelo J. Guglielmo,1
  Jr.,2
George Archainbaud,12
Tom Harper,2
David Mamet,2
John Zaritsky,1
Robin Hardy,1
Martin R Smith,1
Robert Child,2
King Vidor,2
Mark Jean,1
Andrew Patterson,1
Loki Mulholland,2
Joanne Hock,1
Terry L. Noss,1
Stephan Schultze,2
Martin Krejcí,1
Roger Corman,4
Pascal Laugier,1
Wei-Hao Cheng,1
Jordan Leondopoulos,1
 John C. Broderick,1
 John Shade,1
Swami Tadatmananda,1
Matt Servo,1
 Troy McDonald,1
 Laurel Dalgleish,2
 Brett Jubinville,1
Eric Bilitch,1
Tony Waters,1
Robin Parsons,1
James Melkonian,1
Evan Oppenheimer,1
André Pellenz,1
B. Harrison Smith,1
Joanna Hogg,1
Henry King,2
Oceanic Research Group,1
Jean van de Velde,1
Robin Pront,2
Shawn Cunningham,1
John Sayles,3
Norman Z. McLeod,2
Elliot Weaver,2
 Zander Weaver,2
Carter Smith,1
Galt Neiderhoffer,1
Jamal (Jay) Sommerville aka The God i.e.,1
Mario Andreacchio,2
Howard Higgin,2
Yen-Ping Chu,1
Neena Nejad and Xoel Pamos,1
The Pop Ups,1
Rupert Julian,2
Elizabeth Rohrbaugh,2
Jefferson Moore,1
 Shane Sooter,1
Mark Deimel,1
Simon Egan,1
Howard Kress,1
 Harold F. Kress,1
George McCowan,1
Arther HIller,1
Gene Saks,2
Jerry Lewis,2
Matt Jones,1
 Dave Hill,1
Christian Sesma,1
Diane Paloma Eskenazi,5
Edward A. Kull,1
Anna Sofaer,1
Clare Lewins,1
BRB International,1
Seth Breedlove,4
Fred Dekker,1
Chris Cofer,1
Brett Simmons,2
Manuel Sicilia,1
 Raul Garcia,1
Stanislav Sokolov,1
 Derek W. Hayes,1
Marcus Adams,1
Marc Berlin,1
Robert N. Bradbury,7
Shinpei Miyashita,6
Maury Thompson,2
Richard Pearce,2
Lynn Roth,1
Benjamin May,1
Andrew Jones,5
Sean Patrick O'Reilly,1
Matthew Holmes,1
Piotr Szkopiak,1
Todd Nilssen,1
Anthony C. Ferrante,6
Samuel Bischoff,1
Isaac Halasima,7
Delbert Mann,1
Joe Talbot,2
Logan Bush,1
S. Roy Luby,1
Chang Cheh,1
Daniel Barber,2
Thomas Lucas,4
Elmer Clifton,3
Derrick Borte,2
Kenny Golde,1
Peter Collinson,1
Allan Dwan,3
Derek Richards,1
