genre,cast,counts
action-adventure,Jim Cummings,11
animals & nature,Winston Hibler,10
animation,Jim Cummings,20
anthology,Jeff Bennett,2
biographical,Jane Goodall,2
buddy,Billy Crystal,3
comedy,Larry the Cable Guy ,17
coming of age,Brenda Song,5
concert film,Billie Eilish,2
crime,Alan Hewitt,1
dance,America Ferrera,1
disaster,Amy Sedaris,1
documentary,Winston Hibler,11
drama,Emilio Estevez,3
family,Walt Disney,18
fantasy,Chris Hemsworth,6
historical,Russell Boulter,3
kids,John Fiedler,7
lifestyle,Allison Holker,1
medical, MD,1
music,Joe Jonas,4
musical,Booboo Stewart,4
mystery,Diane Kruger,2
parody,Pinto Colvig,2
reality,Allison Holker,1
romance,Joan Cusack,2
romantic comedy,Helen Hayes,1
science fiction,Chris Evans,9
sports,Brandon Baker,2
spy/espionage,Brittany Snow,1
superhero,Robert Downey Jr.,5
survival,Agneta Eckemyr,1
thriller,Diane Kruger,2
variety,Anthony Anderson,1
western,Don Knotts,2
