Director,Genre(s)
Alonso Ramirez Ramos,"['Animation, Family', 'Animation, Family, Parody']"
 Dave Wasson,"['Animation, Family', 'Animation, Family, Parody']"
John Cherry,['Comedy']
Karen Disher,"['Animation, Comedy, Family']"
Hamish Hamilton,"['Musical', 'Concert Film, Family, Fantasy']"
Liz Garbus,"['Biographical, Documentary']"
Kirk R. Thatcher,"['Comedy, Family, Musical']"
John Gleim,['Documentary']
Leslie Iwerks,"['Documentary, Family']"
McKenna Harris,"['Animation, Comedy, Family']"
Kevin Lima,"['Comedy, Family, Fantasy', 'Action-Adventure, Animation, Coming of Age', 'Action-Adventure, Animals & Nature, Family', 'Action-Adventure, Animation, Comedy']"
Patrick Osborne,"['Animation, Comedy, Drama', 'Concert Film, Music']"
Chris Buck,"['Animation, Family, Fantasy', 'Action-Adventure, Animation, Coming of Age', 'Action-Adventure, Animation, Family']"
 Jennifer Lee,"['Animation, Family, Fantasy', 'Action-Adventure, Animation, Family']"
Lauren MacMullan,"['Action-Adventure, Animation, Comedy']"
Dan Mazer,"['Comedy, Family']"
Jaume Collet-Serra,"['Action-Adventure, Comedy, Family']"
John Kahrs,"['Animation, Comedy, Family']"
Destin Daniel Cretton,"['Action-Adventure, Fantasy, Superhero']"
Manjari Makijany,"['Coming of Age, Music']"
Nathan Greno,"['Animation, Family', 'Action-Adventure, Animation, Comedy', 'Action-Adventure, Animation, Family']"
 Byron Howard,"['Animation, Family', 'Action-Adventure, Animation, Comedy', 'Action-Adventure, Animation, Family']"
Stevie Wermers-Skelton,"['Animation, Family, Fantasy', 'Animation, Comedy, Family']"
 Kevin Deters,"['Animation, Family, Fantasy', 'Animation, Comedy, Family']"
Roger Allers,"['Animation, Drama']"
David Clair,"['Concert Film, Music']"
David Silverman,"['Animation, Comedy', 'Animation, Comedy, Fantasy', 'Animation, Comedy, Parody', 'Action-Adventure, Animation, Comedy']"
Dean Wellins,"['Animation, Crime, Family']"
Mike Mitchell,"['Comedy, Family, Music', 'Action-Adventure, Comedy, Family']"
Brian Levant,"['Comedy, Family']"
Alex Zamm,"['Comedy, Family', 'Action-Adventure, Comedy, Kids', 'Action-Adventure, Comedy, Family']"
Kevin Deters,"['Animation, Family, Fantasy', 'Animation, Comedy, Family']"
 Stevie Wermers-Skelton,"['Animation, Family, Fantasy']"
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Matthew Vaughn,"['Action-Adventure, Science Fiction, Superhero']"
Niki Caro,"['Drama, Sports', 'Action-Adventure, Coming of Age, Drama']"
Daniel Stern,"['Comedy, Family, Sports']"
Don Bluth,"['Animation, Family, Fantasy', 'Animation, Family, Historical']"
 Gary Goldman,"['Animation, Family, Fantasy']"
Jim Greayer,"['Documentary, Historical']"
Ben Crichton,['Documentary']
Jeff Gordon,"['Animation, Family, Fantasy']"
Kirk Thatcher,"['Comedy, Family, Musical']"
Dave Hoffman,"['Family, Variety']"
Alex Zamm,"['Comedy, Family', 'Action-Adventure, Comedy, Kids', 'Action-Adventure, Comedy, Family']"
Cate Shortland,"['Action-Adventure, Science Fiction, Spy/Espionage']"
John Hoffman,"['Biographical, Documentary']"
 Janet Tobias,"['Biographical, Documentary']"
Tim Hill,"['Animation, Comedy, Family', 'Comedy, Family, Kids', 'Comedy, Family']"
Walt Becker,"['Comedy, Family, Music']"
Ken Cunningham,"['Action-Adventure, Animation, Science Fiction', 'Action-Adventure, Animation, Comedy']"
Robert Stromberg,"['Action-Adventure, Family, Fantasy']"
Alonso Ramirez Ramos,"['Animation, Family', 'Animation, Family, Parody']"
 Eddie Trigueros,"['Animation, Family, Parody']"
 Dave Wasson,"['Animation, Family', 'Animation, Family, Parody']"
Jason Sterman,['Documentary']
 Leanne Dare,['Documentary']
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Josh Boone,"['Coming of Age, Drama, Romance']"
P.J. Hogan,"['Comedy, Romance, Romantic Comedy']"
Salvador Simó,"['Animation, Fantasy, Musical']"
Jay Hatcher,"['Concert Film, Music']"
Katie Bauer Murdock,"['Documentary', 'Animals & Nature, Documentary']"
Louis Gonzales,"['Animation, Comedy, Family']"
Rob Marshall,"['Action-Adventure, Fantasy', 'Family, Fantasy, Musical', 'Action-Adventure, Fantasy, Musical', 'Drama, Family, Musical']"
