genre,director,counts
action & adventure,Don Michael Paul,9
anime features,Toshiya Shinohara,7
anime series,Go Koga,1
british tv shows,Alastair Fothergill,3
children & family movies,Rajiv Chilaka,22
classic & cult tv,Greg Tiernan,1
classic movies,Youssef Chahine,8
comedies,David Dhawan,9
crime tv shows,Ahmet Katıksız,1
cult movies,Mike Clattenburg,3
documentaries,Vlad Yudin,6
docuseries,Alastair Fothergill,3
dramas,Youssef Chahine,12
faith & spirituality,David Batty,5
horror movies,Rocky Soraya,6
independent movies,Noah Baumbach,5
international movies,Cathy Garcia-Molina,13
international tv shows,Alastair Fothergill,3
kids' tv,Iginio Straffi,2
korean tv shows,Jung-ah Im,2
lgbtq movies,Jun Lana,2
movies,Louis C.K.,3
music & musicals,Matt Askem,6
reality tv,Adrián García Bogliano,1
romantic movies,Cathy Garcia-Molina,8
romantic tv shows,Hsu Fu-chun,2
sci-fi & fantasy,Lana Wachowski,4
science & nature tv,Estela Renner,1
spanish-language tv shows,Adrián García Bogliano,1
sports movies,Vlad Yudin,4
stand-up comedy,Jan Suter,21
stand-up comedy & talk shows,Jung-ah Im,2
teen tv shows,Pass Patthanakumjon,1
thrillers,David Fincher,4
tv action & adventure,Ange Basterga,1
tv comedies,Stan Lathan,2
tv dramas,Abhishek Chaubey,1
tv horror,Chuang Shiang-an,1
tv mysteries,Abhishek Chaubey,1
tv sci-fi & fantasy,Glen Winter,1
tv shows,Ali Kalthami,1
tv thrillers,Chen Hung-yi,1
