,release_year,rating
0,2020,PG-13
1,2021,TV-MA
2,2021,TV-MA
3,2021,TV-MA
4,2021,TV-MA
5,2021,TV-MA
6,2021,PG
7,1993,TV-MA
8,2021,TV-14
9,2021,PG-13
10,2021,TV-MA
11,2021,TV-MA
12,2021,TV-MA
13,2021,TV-PG
14,2021,TV-MA
15,2021,TV-MA
16,2020,TV-MA
17,2020,TV-MA
18,2021,TV-14
19,2021,TV-MA
20,2021,TV-14
21,2018,TV-14
22,1996,TV-PG
23,2021,TV-Y
24,1998,TV-14
25,2021,TV-14
26,1997,TV-PG
27,2010,PG-13
28,2013,PG-13
29,2013,PG-13
30,2021,TV-14
31,2021,TV-MA
32,2020,TV-MA
33,2021,TV-MA
34,2020,TV-Y7
35,2021,TV-MA
36,2021,TV-MA
37,2018,TV-Y7
38,2017,PG-13
39,2021,TV-Y7
40,2021,TV-Y7
41,1975,PG
42,1978,PG
43,1983,PG
44,1987,PG-13
45,2021,PG
46,2012,R
47,2020,TV-MA
48,2001,R
49,2021,TV-MA
50,2014,TV-PG
51,2002,TV-14
52,2003,TV-14
53,2004,TV-PG
54,2001,TV-PG
55,2021,TV-PG
56,2011,TV-14
57,2008,TV-PG
58,2009,TV-PG
59,2007,TV-PG
60,2010,TV-14
61,2005,TV-PG
62,2006,TV-PG
63,2004,TV-PG
64,2021,TV-PG
65,2021,TV-Y
66,2014,TV-G
67,1994,TV-PG
68,2021,TV-14
69,2015,TV-PG
70,2021,TV-MA
71,2021,TV-Y
72,2021,TV-MA
73,2018,TV-MA
74,2021,TV-PG
75,2021,TV-G
76,2013,TV-14
77,2021,TV-Y7
78,2020,TV-14
79,2021,TV-14
80,2021,TV-Y7
81,2021,R
82,2021,TV-14
83,2021,TV-MA
84,2020,TV-MA
85,2021,TV-Y7
86,2021,TV-MA
87,2019,TV-Y
88,2021,PG-13
89,2017,TV-Y7
90,2019,TV-MA
91,2021,TV-14
92,2021,TV-MA
93,2021,TV-MA
94,2018,PG
95,2021,TV-MA
